LD,FD,RD,HA,W_R
0.3591136526090064,0.40597313518148037,0.028293798228065214,-1.2483,4.5625
0.7619728377412438,0.2237782223492426,0.3228065161474708,-0.2014,3.3781
0.10464617583988567,0.21934838525292943,0.801086024578451,1.3815,0.9414
0.41258041458184413,0.18891111746213196,0.18676764789939992,-3.1292,6.9184
0.48134381701215156,0.8539582737925121,0.331809088310946,-1.3016,4.8294
0.17812723373838457,0.5228636753358104,0.7946556158902545,-0.6645,3.8518
0.9438170121515368,0.09859959988568157,0.535295798799657,1.2562,1.0827
0.7037884203002143,0.9851386110317232,0.41569019719919975,1.0892,2.5125
0.8874910650464618,0.1003143755358673,0.6563303801086025,-0.6087,3.6598
0.051036454610436044,0.9312660760217205,0.9158330951700486,-1.1626,4.4204
0.20071479628305933,0.3791083166619035,0.7384967133466704,1.0783,1.763
0.16854896354538962,0.6574735638753929,0.6539011146041727,-2.0274,5.5584
0.904360257326662,0.09659902829379818,0.8062303515290083,0.788,1.7208
0.060185847033595474,0.23406687625035727,0.874964275507288,-2.9425,7.0206
0.1428162973552537,0.34424121177479283,0.8292369248356672,1.5629,0.8942
0.7107934238741958,0.6580451557587882,0.44398399542726497,-1.1583,4.8704
0.7881343817012152,0.0701629036867677,0.9721348956844813,-0.9903,4.1698
0.7515368120085777,0.3616747642183482,0.7579308373821092,0.3856,3.0813
0.9077912794853467,0.2705058588168048,0.7072020577307803,1.4969,1.5486
0.3422444603288064,0.5295798799657044,0.9419834238353817,0.3926,3.0182
0.9949964260185848,0.2113460988853959,0.6709059731351814,1.4327,1.3767
0.8260185847033594,0.5705915975993141,0.644469848528151,-2.5273,6.4106
0.024874910650464654,0.10788796799085454,0.5995998856816234,1.0454,1.0045
0.0866333095067906,0.5092883681051729,0.31051729065447276,1.1216,1.2113
0.870192994996426,0.811088882537868,0.24749928551014577,0.9063,2.142
0.28048606147248034,0.9002572163475279,0.473135181480423,2.0553,0.9561
0.11608291636883483,0.7857959416976278,0.7243498142326381,-1.2403,4.533
0.14667619728377412,0.357959416976279,0.6054587024864246,2.6243,-0.4623
0.6514653323802717,0.880965990282938,0.5068591026007432,-2.0228,5.8324
0.7336669049320943,0.5894541297513575,0.8408116604744214,-0.7507,4.7771
0.6045746962115797,0.24049728493855382,0.5687339239782796,-2.1637,5.7192
0.03674052894924945,0.42483566733352396,0.17304944269791378,1.5086,0.3648
0.10192994996426019,0.526150328665333,0.9722777936553302,2.6973,-0.8811
0.5941386704789136,0.22935124321234646,0.9011146041726208,-3.1087,6.8388
0.125518227305218,0.1503286653329523,0.048013718205201505,1.4607,0.5084
0.7879914224446034,0.43769648470991707,0.8420977422120606,1.1196,2.5531
0.07619728377412438,0.9251214632752215,0.737496427550729,-3.0534,7.1141
0.34796283059328104,0.3856816233209488,0.6567590740211491,-1.5686,5.1408
0.7220872051465332,0.8446699056873394,0.0613032294941413,2.263,-0.5816
0.3769835596854897,0.23135181480422973,0.07387825092883682,1.176,1.0703
0.7366690493209436,0.7410688768219492,0.21820520148613887,-1.8083,5.2912
0.11336669049320947,0.7333523863961132,0.3665332952272078,-1.5432,4.9426
0.5483917083631166,0.9046870534438413,0.5417262074878537,2.7793,1.2957
0.7842744817726948,0.5774507002000572,0.8413832523578166,-1.3906,5.3517
0.21100786275911365,0.01057444984281225,0.013003715347242095,-2.0669,5.8879
0.36297355253752683,0.29422692197770794,0.7730780222920834,1.8063,1.2967
0.02601858470335955,0.9837096313232351,0.028436696198914035,-0.4556,3.3368
0.012866333095067906,0.4384109745641612,0.07073449557016298,-3.0306,7.4085
0.08949249463902786,0.9634181194627035,0.37710774507002,1.2966,0.98
0.11994281629735526,0.7287796513289512,0.12517862246356104,2.7305,-0.7904
0.4609006433166548,0.4832809374106888,0.3769648470991712,-2.4652,6.1244
0.4112937812723373,0.3016576164618462,0.08916833380965994,1.1979,1.117
0.9388134381701216,0.29379822806516154,0.015290082880823175,-2.9424,7.2528
0.31036454610436015,0.9729922835095742,0.33752500714489864,-1.3848,4.8901
0.5982844889206576,0.9258359531294654,0.10503000857387823,1.4525,0.846
0.23216583273766978,0.8430980280080024,0.15761646184624178,2.6057,-0.366
0.6185847033595424,0.9024006859102601,0.1220348671048872,-1.8785,5.3892
0.5223731236597571,0.043155187196341815,0.274221206058874,1.2737,0.7592
0.4854896354538957,0.003572449271220357,0.4665618748213777,2.4361,-1.3654
0.13466761972837737,0.6068876821949128,0.20634466990568745,2.3538,-0.1879
0.067047891350965,0.8165190054301229,0.03443841097456418,-2.403,6.3204
0.8293066476054325,0.04158330951700484,0.4284081166047442,0.3538,2.1373
0.474481772694782,0.34752786510431555,0.8002286367533582,-1.2728,4.8226
0.27619728377412445,0.9468419548442412,0.0764504144041156,0.1467,2.5509
0.8075768406004289,0.8430980280080024,0.573735352957988,0.8879,3.1993
0.6643316654753395,0.5785938839668477,0.3876821949128323,0.4068,3.133
0.622301644031451,0.2886539011146042,0.29508430980280087,-2.9311,6.5998
0.02816297355253755,0.3708202343526722,0.2609316947699344,-0.6423,3.6281
0.1453895639742674,0.8290940268648185,0.31923406687625033,2.5457,-0.3684
0.6710507505360972,0.8060874535581594,0.7372106316090312,-0.2702,4.5286
0.6300214438884917,0.4302657902257787,0.3498142326378967,-1.3811,4.9421
0.35582558970693356,0.415547299228351,0.42626464704201217,2.5858,0.7153
0.4074338813438171,0.7695055730208632,0.703486710488711,1.2574,2.3122
0.39985704074338824,0.5490140040011432,0.17404972849385547,-0.2498,3.324
0.47891350964974977,0.3826807659331237,0.7002000571591884,-3.074,6.7668
0.5911365260900643,0.2647899399828523,0.6776221777650757,-0.7499,4.1037
0.7762687634024303,0.2410688768219491,0.9075450128608176,0.798,2.2464
0.1516797712651895,0.07230637324949984,0.2660760217204916,0.8058,1.5936
0.13338098641887064,0.5067162046298942,0.17219205487282085,2.765,-0.7385
0.8211579699785561,0.4851386110317233,0.9242640754501286,-1.72,5.5022
0.9273766976411724,0.44155472992283507,0.41854815661617606,-0.8159,4.4729
0.10035739814152966,0.5171477565018577,0.07473563875392975,-1.2983,4.6116
0.02558970693352397,0.01614747070591599,0.7097742212060589,-2.3835,6.3675
0.16383130807719803,0.646613318090883,0.039868533866819156,0.1257,2.4761
0.6614724803431022,0.8443841097456416,0.9987139182623608,2.1185,2.3397
0.965832737669764,0.1710488711060303,0.19662760788796796,-0.1191,3.1526
0.5189421015010722,0.7329236924835666,0.31580451557587885,-0.3886,3.8014
0.0736240171551108,0.34095455844527,0.40468705344384126,-1.5943,5.0353
0.7581129378127234,0.2500714489854243,0.532294941411832,2.313,0.5156
0.10578984989278062,0.9276936267505002,0.19719919977136324,0.4373,2.2377
0.7441029306647604,0.39011146041726197,0.23335238639611322,-0.4951,3.7474
0.21072194424588997,0.2953701057444985,0.9308373821091742,-2.6691,6.3288
0.4982130092923517,0.6997713632466419,0.02214918548156619,-2.4612,6.4625
0.03845604002859193,0.5663046584738497,0.8318090883109461,2.3069,-0.8345
0.8643316654753395,0.8376679051157473,0.7253501000285796,-1.6657,5.8975
0.3182273052180129,0.19705630180051448,0.09688482423549594,1.3158,0.9917
0.3698355968548964,0.03929694198342387,0.5881680480137184,2.3143,-0.8379
0.21972837741243745,0.12989425550157196,0.14789939982852252,1.5468,0.8494
0.3785561115082202,0.8245212917976564,0.9392683623892542,2.3194,1.0971
0.7323802716225876,0.14018290940268652,0.07687910831666189,0.9237,1.4451
0.3465332380271623,0.18076593312374967,0.766504715633038,1.3123,1.3919
0.07433881343817006,0.3555301514718491,0.6663332380680194,1.8407,0.122
0.16797712651894214,0.6710488711060302,0.7700771649042584,0.0443,2.9389
