LD,FD,RD,HA,W_R
0.5899671287694725,0.3477639662808973,0.8177135498640722,-2.3879,32.6119
0.670001429183936,0.27975425060722964,0.2857347259979969,-2.9623,44.7286
0.34743461483492927,0.6309472781825975,0.4270997281442266,1.958,-8.0919
0.5195083607260254,0.8006858122588942,0.0057232794391186,-2.5206,1458.746
0.530941832213806,0.4812116016573797,0.09028473315209617,-0.1592,15.9954
0.4554809203944548,0.07529647092441777,0.42867362998998426,-1.3946,70.5403
0.7834786337001571,0.7429632804686384,0.7493203605666046,3.041,-3.0716
0.15406602829784194,0.8371195885126448,0.18042638431821434,-1.2489,-2.9479
0.803487208803773,0.5402200314330619,0.06152525397052505,-2.5866,147.2163
0.22238102043733027,0.8954136305186455,0.5987981113177852,-2.8927,-10.9276
0.35386594254680576,0.32447492498928426,0.47174130776935186,0.666,3.573
0.027154494783478644,0.1760251464494928,0.7554728859636572,0.1246,-4.6791
0.6409889952836931,0.8246892413201885,0.5922163399627987,0.3194,11.1346
0.37444619122481076,0.5389341334476354,0.759622263557018,-2.3413,0.0772
0.5515220808918107,0.0002857551078725984,0.9550722564029188,-1.9496,19056.3487
0.5692439616978706,0.9611373053293328,0.4436972385176705,1.4274,15.4948
0.7786194083178506,0.7802543220460065,0.80941479467735,-2.2005,5.6551
0.040160068600828935,0.9204172024574939,0.24223780226069525,-3.0014,-111.409
0.9295412319565528,0.309901414487784,0.40105880669623695,-2.7882,39.5609
0.007145919679862778,0.44320617231033005,0.11546716268421808,-0.2811,-53.6071
0.776618550807489,0.6510930132876125,0.6576048075547289,1.3977,3.2667
0.03901672145205082,0.8771253036148021,0.14064959221634,0.5804,-38.2057
0.18122052308132058,0.9115587941134449,0.4406925168121333,-3.0139,-16.8305
0.04930684579105332,0.08886983854836411,0.9886965231077407,2.0231,-123.285
0.8632270973274261,0.6799542791827404,0.16497352983259406,-1.6692,43.1994
0.8562240960411605,0.8738391198742677,0.31449420517956783,-1.3575,24.3123
0.8455052165213661,0.3309044149164166,0.6586063814565746,-0.0536,10.784
